player_id,batter_atbats,batter_homeruns,batter_ops,batter_runs,batter_rbi,batter_average,pitcher_innings,pitcher_wins,pitcher_losses,pitcher_era,pitcher_whip,pitcher_saves,pitcher_strikeouts,war,allstar_apps,in_hall_of_fame
peraljo01,7,0,0.4,1,2,0.143,648,20,35,4.03,1.16,15,612,4.1,0,0
jonesdo01,7,0,0.393,0,0,0.143,1128,69,79,3.3,1.24,303,909,21.4,5,0
hraboal01,56,0,0.392,4,6,0.143,722,64,35,3.1,1.29,97,548,10.2,0,0
benesan01,741,8,0.39,48,50,0.143,2505,155,139,3.97,1.31,1,2000,31.4,1,0
klinest02,14,0,0.357,1,2,0.143,682,34,39,3.51,1.38,39,493,9.9,0,0
peltyba01,697,0,0.334,42,30,0.143,1908,92,117,2.63,1.15,4,693,19.3,0,0
wheelda01,7,0,0.286,1,0,0.143,640,25,43,3.98,1.22,43,555,7.9,0,0
shueypa01,7,0,0.286,0,0,0.143,530,45,28,3.87,1.41,23,556,6.8,0,0
alfonan01,14,0,0.286,0,2,0.143,613,35,37,4.11,1.51,129,400,3.7,0,0
frazige01,21,0,0.286,0,0,0.143,675,35,43,4.2,1.43,29,449,2.9,0,0
accarje01,7,0,0.286,0,0,0.143,284,10,20,4.31,1.4,38,205,1.8,0,0
borbope02,7,0,0.286,0,0,0.143,271,16,16,4.68,1.45,6,224,0.7,0,0
blaehge01,626,3,0.391,43,41,0.142,1914,104,125,4.54,1.44,12,572,21.9,0,0
beckejo02,289,3,0.39,19,18,0.142,2051,138,106,3.88,1.23,0,1901,35.7,3,0
brancra01,464,2,0.376,35,31,0.142,1484,88,68,3.79,1.37,19,829,14.8,3,0
jamesbi01,358,0,0.374,25,12,0.142,1179,65,71,3.21,1.43,4,408,4.8,0,0
macfada01,910,1,0.358,66,47,0.142,2706,132,159,3.96,1.42,9,797,22.4,0,0
kindeel01,444,1,0.353,34,33,0.142,1479,102,71,3.43,1.33,102,749,28.9,0,0
